obecA;obecB;Periodicita dochadzky;POCET
500453;999999;2;12
518689;518280;1;1
558320;999999;1;22
509442;518034;1;3
500011;529346;2;22
500933;500933;2;136
500488;500704;1;10
582425;500011;1;82
518760;000000;1;93
501204;501107;1;32
518158;529346;2;16
518808;518506;1;36
501115;501239;1;9
500712;500011;1;83
501328;528595;1;5
500011;502413;1;143
501395;503185;2;4
500682;500135;1;4
500011;500411;1;30
501026;501522;1;25
501344;999999;1;49
500844;529346;1;1
500631;000000;2;13
500704;000000;1;101
555886;500011;1;207
500704;507032;2;31
581585;557293;1;27
500020;500020;2;8
500011;503509;1;1
500313;000000;1;34
500488;500011;1;163
500453;000000;1;155
500950;500011;2;48
500674;000000;1;38
582425;000000;2;7
580791;580791;1;46
500071;503011;1;9
501182;999999;2;45
518158;506745;2;2
500011;506524;1;1
518689;999999;1;20
558133;508594;1;1
555959;500011;2;10
501026;529371;1;10
555860;500933;1;25
509205;517402;2;7
509442;999999;2;7
580911;501204;1;4
518697;518727;1;1
500411;500411;1;78
558087;518158;2;2
500313;500313;1;28
509442;999999;1;6
500011;529389;1;9
500356;503665;1;1
509329;509329;1;92
518689;518298;1;8
558133;516589;1;2
501395;503436;1;2
500674;545635;1;1
500887;529320;1;23
501425;528595;1;2
518727;528595;1;2
501140;517402;1;1
501425;501026;1;355
501115;528595;1;6
500411;500682;1;3
509370;528595;1;3
500887;500887;2;48
501026;503665;1;19
501204;528595;1;10
501204;501107;2;8
509442;509469;1;1
500950;501417;1;1
501344;000000;2;13
555959;555959;1;16
500356;529320;1;6
518506;518972;1;2
501115;501425;1;2
501417;501433;1;14
518727;999999;2;4
500488;999999;2;6
500453;500887;1;24
500011;529389;2;6
518158;504203;1;3
581585;518158;2;5
500704;507253;2;3
500356;507156;1;1
558133;000000;2;16
518972;528595;1;5
518727;558133;1;1
501115;501026;2;18
500470;529320;1;4
518204;518671;1;1
500020;506877;1;1
545589;507024;1;1
501158;501239;1;18
518662;506338;1;1
518662;508454;1;1
518760;509868;2;1
501140;502031;1;2
509256;505820;1;7
500011;500917;1;10
518158;508021;1;1
518158;511552;1;1
518760;518506;2;6
518662;516589;1;1
518506;511218;2;1
518158;505820;2;2
518158;512371;2;1
518158;599824;2;1
518808;507032;1;1
518298;509868;1;1
518158;580236;2;2
518158;513997;1;1
518158;508675;1;1
518298;518689;2;4
518158;514829;2;1
518662;508659;2;1
518158;507741;1;3
501280;503452;1;1
501301;999999;2;34
501093;501417;1;5
501387;501433;1;2
501093;501093;2;9
501093;501433;1;8
501069;501042;1;2
501387;501522;1;5
501280;501280;2;37
