"","obecA","obecB","pocet","okresA","okresB","obecA_nazov","obecB_nazov"
"203","510416","511048",5,"SK0315","SK0315","Galovany","Svätý Kríž"
"204","510416","511196",3,"SK0315","SK0315","Galovany","Závažná Poruba"
"205","510424","507300",1,"SK0315","SK0318","Gôtovany","Ivachnová"
"206","510424","510262",61,"SK0315","SK0315","Gôtovany","Liptovský Mikuláš"
"207","510424","510386",3,"SK0315","SK0315","Gôtovany","Demänovská Dolina"
"208","510424","510424",9,"SK0315","SK0315","Gôtovany","Gôtovany"
"209","510424","510611",1,"SK0315","SK0315","Gôtovany","Liptovská Kokava"
"210","510424","510670",1,"SK0315","SK0318","Gôtovany","Liptovská Teplá"
"211","510424","510726",1,"SK0315","SK0315","Gôtovany","Liptovský Hrádok"
"212","510424","510777",1,"SK0315","SK0315","Gôtovany","Liptovský Trnovec"
"213","510424","510785",1,"SK0315","SK0318","Gôtovany","Lisková"
"214","510424","510793",3,"SK0315","SK0315","Gôtovany","¼ube¾a"
"215","510424","510904",1,"SK0315","SK0315","Gôtovany","Partizánska ¼upèa"
"216","510424","510947",1,"SK0315","SK0315","Gôtovany","Podtureò"
"217","510424","511005",1,"SK0315","SK0318","Gôtovany","Liptovské Sliaèe"
"218","510424","511048",6,"SK0315","SK0315","Gôtovany","Svätý Kríž"
"219","510424","511153",1,"SK0315","SK0315","Gôtovany","Vlachy"
"220","510424","511196",3,"SK0315","SK0315","Gôtovany","Závažná Poruba"
"221","510441","507300",2,"SK0318","SK0318","Hubová","Ivachnová"
"222","510441","510262",2,"SK0318","SK0315","Hubová","Liptovský Mikuláš"
"223","510441","510408",1,"SK0318","SK0315","Hubová","Dúbrava"
"224","510441","510441",23,"SK0318","SK0318","Hubová","Hubová"
"225","510441","510521",1,"SK0318","SK0315","Hubová","Jamník"
"226","510441","510599",2,"SK0318","SK0318","Hubová","Likavka"
"227","510441","510726",3,"SK0318","SK0315","Hubová","Liptovský Hrádok"
"228","510441","510807",25,"SK0318","SK0318","Hubová","¼ubochòa"
"229","510441","510963",1,"SK0318","SK0315","Hubová","Pribylina"
"230","510441","510998",113,"SK0318","SK0318","Hubová","Ružomberok"
"231","510441","511005",1,"SK0318","SK0318","Hubová","Liptovské Sliaèe"
"232","510441","511030",3,"SK0318","SK0318","Hubová","Stankovany"
"233","510441","511064",1,"SK0318","SK0318","Hubová","Švošov"
"234","510459","510262",1,"SK0315","SK0315","Huty","Liptovský Mikuláš"
"235","510459","510459",2,"SK0315","SK0315","Huty","Huty"
"236","510459","510572",1,"SK0315","SK0315","Huty","Kvaèany"
"237","510459","510700",2,"SK0315","SK0315","Huty","Liptovské Matiašovce"
"238","510459","510734",1,"SK0315","SK0315","Huty","Liptovský Ján"
"239","510459","510998",2,"SK0315","SK0318","Huty","Ružomberok"
"240","510467","510262",84,"SK0315","SK0315","Hybe","Liptovský Mikuláš"
"241","510467","510327",1,"SK0315","SK0315","Hybe","Bobrovec"
"242","510467","510386",2,"SK0315","SK0315","Hybe","Demänovská Dolina"
"243","510467","510408",1,"SK0315","SK0315","Hybe","Dúbrava"
"244","510467","510467",76,"SK0315","SK0315","Hybe","Hybe"
"245","510467","510564",9,"SK0315","SK0315","Hybe","Krá¾ova Lehota"
"246","510467","510599",2,"SK0315","SK0318","Hybe","Likavka"
"247","510467","510726",129,"SK0315","SK0315","Hybe","Liptovský Hrádok"
"248","510467","510734",2,"SK0315","SK0315","Hybe","Liptovský Ján"
"249","510467","510858",6,"SK0315","SK0315","Hybe","Malužiná"
"250","510467","510947",2,"SK0315","SK0315","Hybe","Podtureò"
"251","510467","510998",5,"SK0315","SK0318","Hybe","Ružomberok"
"252","510467","511013",1,"SK0315","SK0315","Hybe","Smreèany"
"253","510467","511099",3,"SK0315","SK0315","Hybe","Uhorská Ves"
"254","510467","511111",1,"SK0315","SK0315","Hybe","Vavrišovo"
"255","510467","511129",5,"SK0315","SK0315","Hybe","Važec"
"256","510467","511170",3,"SK0315","SK0315","Hybe","Východná"
"257","510467","511196",3,"SK0315","SK0315","Hybe","Závažná Poruba"
"258","510467","558281",7,"SK0315","SK0315","Hybe","Liptovská Porúbka"
"259","510467","580287",2,"SK0315","SK0315","Hybe","Liptovský Peter"
"260","510505","510262",52,"SK0315","SK0315","Jakubovany","Liptovský Mikuláš"
"261","510505","510271",1,"SK0315","SK0315","Jakubovany","Beòadiková"
"262","510505","510301",1,"SK0315","SK0318","Jakubovany","Bešeòová"
"263","510505","510386",2,"SK0315","SK0315","Jakubovany","Demänovská Dolina"
"264","510505","510505",9,"SK0315","SK0315","Jakubovany","Jakubovany"
"265","510505","510521",1,"SK0315","SK0315","Jakubovany","Jamník"
"266","510505","510726",9,"SK0315","SK0315","Jakubovany","Liptovský Hrádok"
"267","510505","510734",1,"SK0315","SK0315","Jakubovany","Liptovský Ján"
"268","510505","510751",13,"SK0315","SK0315","Jakubovany","Liptovský Ondrej"
"269","510505","510904",1,"SK0315","SK0315","Jakubovany","Partizánska ¼upèa"
"270","510505","510947",1,"SK0315","SK0315","Jakubovany","Podtureò"
"271","510505","510963",1,"SK0315","SK0315","Jakubovany","Pribylina"
"272","510505","510998",1,"SK0315","SK0318","Jakubovany","Ružomberok"
"273","510505","511099",2,"SK0315","SK0315","Jakubovany","Uhorská Ves"
"274","510505","511196",7,"SK0315","SK0315","Jakubovany","Závažná Poruba"
"275","510513","510262",54,"SK0315","SK0315","Jalovec","Liptovský Mikuláš"
"276","510513","510327",2,"SK0315","SK0315","Jalovec","Bobrovec"
"277","510513","510335",1,"SK0315","SK0315","Jalovec","Bobrovník"
"278","510513","510386",1,"SK0315","SK0315","Jalovec","Demänovská Dolina"
"279","510513","510505",1,"SK0315","SK0315","Jalovec","Jakubovany"
"280","510513","510513",5,"SK0315","SK0315","Jalovec","Jalovec"
"281","510513","510726",1,"SK0315","SK0315","Jalovec","Liptovský Hrádok"
"282","510513","510734",2,"SK0315","SK0315","Jalovec","Liptovský Ján"
"283","510513","510998",3,"SK0315","SK0318","Jalovec","Ružomberok"
"284","510513","511170",1,"SK0315","SK0315","Jalovec","Východná"
"285","510513","511196",2,"SK0315","SK0315","Jalovec","Závažná Poruba"
"286","510513","558281",1,"SK0315","SK0315","Jalovec","Liptovská Porúbka"
"287","510521","510262",45,"SK0315","SK0315","Jamník","Liptovský Mikuláš"
"288","510521","510335",1,"SK0315","SK0315","Jamník","Bobrovník"
"289","510521","510386",1,"SK0315","SK0315","Jamník","Demänovská Dolina"
"290","510521","510521",10,"SK0315","SK0315","Jamník","Jamník"
"291","510521","510726",46,"SK0315","SK0315","Jamník","Liptovský Hrádok"
"292","510521","510947",6,"SK0315","SK0315","Jamník","Podtureò"
"293","510521","510998",1,"SK0315","SK0318","Jamník","Ružomberok"
"294","510521","511196",1,"SK0315","SK0315","Jamník","Závažná Poruba"
"295","510521","558281",4,"SK0315","SK0315","Jamník","Liptovská Porúbka"
"296","510521","580287",1,"SK0315","SK0315","Jamník","Liptovský Peter"
"297","510530","507300",1,"SK0318","SK0318","Kalameny","Ivachnová"
"298","510530","510262",3,"SK0318","SK0315","Kalameny","Liptovský Mikuláš"
"299","510530","510301",1,"SK0318","SK0318","Kalameny","Bešeòová"
"300","510530","510530",5,"SK0318","SK0318","Kalameny","Kalameny"
"301","510530","510599",3,"SK0318","SK0318","Kalameny","Likavka"
"302","510530","510637",1,"SK0318","SK0318","Kalameny","Liptovská Osada"
"303","510530","510670",11,"SK0318","SK0318","Kalameny","Liptovská Teplá"
"304","510530","510751",1,"SK0318","SK0315","Kalameny","Liptovský Ondrej"
"305","510530","510785",3,"SK0318","SK0318","Kalameny","Lisková"
"306","510530","510815",12,"SK0318","SK0318","Kalameny","Lúèky"
"307","510530","510998",45,"SK0318","SK0318","Kalameny","Ružomberok"
"308","510548","510262",3,"SK0318","SK0315","Komjatná","Liptovský Mikuláš"
"309","510548","510386",2,"SK0318","SK0315","Komjatná","Demänovská Dolina"
"310","510548","510548",32,"SK0318","SK0318","Komjatná","Komjatná"
"311","510548","510599",12,"SK0318","SK0318","Komjatná","Likavka"
"312","510548","510670",1,"SK0318","SK0318","Komjatná","Liptovská Teplá"
"313","510548","510807",3,"SK0318","SK0318","Komjatná","¼ubochòa"
"314","510548","510823",1,"SK0318","SK0318","Komjatná","Ludrová"
"315","510548","510998",122,"SK0318","SK0318","Komjatná","Ružomberok"
"316","510548","511056",1,"SK0318","SK0318","Komjatná","Štiavnièka"
"317","510548","511102",4,"SK0318","SK0318","Komjatná","Valaská Dubová"
"318","510564","510262",23,"SK0315","SK0315","Krá¾ova Lehota","Liptovský Mikuláš"
"319","510564","510386",4,"SK0315","SK0315","Krá¾ova Lehota","Demänovská Dolina"
"320","510564","510467",3,"SK0315","SK0315","Krá¾ova Lehota","Hybe"
"321","510564","510564",34,"SK0315","SK0315","Krá¾ova Lehota","Krá¾ova Lehota"
"322","510564","510700",1,"SK0315","SK0315","Krá¾ova Lehota","Liptovské Matiašovce"
"323","510564","510726",45,"SK0315","SK0315","Krá¾ova Lehota","Liptovský Hrádok"
"324","510564","510734",1,"SK0315","SK0315","Krá¾ova Lehota","Liptovský Ján"
"325","510564","510751",3,"SK0315","SK0315","Krá¾ova Lehota","Liptovský Ondrej"
"326","510564","510858",6,"SK0315","SK0315","Krá¾ova Lehota","Malužiná"
"327","510564","510947",4,"SK0315","SK0315","Krá¾ova Lehota","Podtureò"
"328","510564","510998",1,"SK0315","SK0318","Krá¾ova Lehota","Ružomberok"
"329","510564","511013",1,"SK0315","SK0315","Krá¾ova Lehota","Smreèany"
"330","510564","511099",1,"SK0315","SK0315","Krá¾ova Lehota","Uhorská Ves"
"331","510564","511188",1,"SK0315","SK0315","Krá¾ova Lehota","Vyšná Boca"
"332","510564","511196",3,"SK0315","SK0315","Krá¾ova Lehota","Závažná Poruba"
"333","510564","558281",4,"SK0315","SK0315","Krá¾ova Lehota","Liptovská Porúbka"
"334","510572","507300",1,"SK0315","SK0318","Kvaèany","Ivachnová"
"335","510572","510262",61,"SK0315","SK0315","Kvaèany","Liptovský Mikuláš"
"336","510572","510386",5,"SK0315","SK0315","Kvaèany","Demänovská Dolina"
"337","510572","510424",1,"SK0315","SK0315","Kvaèany","Gôtovany"
"338","510572","510564",4,"SK0315","SK0315","Kvaèany","Krá¾ova Lehota"
"339","510572","510572",40,"SK0315","SK0315","Kvaèany","Kvaèany"
"340","510572","510653",5,"SK0315","SK0315","Kvaèany","Liptovská Sielnica"
"341","510572","510700",1,"SK0315","SK0315","Kvaèany","Liptovské Matiašovce"
"342","510572","510726",3,"SK0315","SK0315","Kvaèany","Liptovský Hrádok"
"343","510572","510777",3,"SK0315","SK0315","Kvaèany","Liptovský Trnovec"
"344","510572","510807",1,"SK0315","SK0318","Kvaèany","¼ubochòa"
"345","510572","510998",3,"SK0315","SK0318","Kvaèany","Ružomberok"
"346","510572","511013",2,"SK0315","SK0315","Kvaèany","Smreèany"
"347","510572","511196",1,"SK0315","SK0315","Kvaèany","Závažná Poruba"
"348","510581","510262",61,"SK0315","SK0315","Lazisko","Liptovský Mikuláš"
"349","510581","510301",1,"SK0315","SK0318","Lazisko","Bešeòová"
"350","510581","510408",1,"SK0315","SK0315","Lazisko","Dúbrava"
"351","510581","510581",2,"SK0315","SK0315","Lazisko","Lazisko"
"352","510581","510670",1,"SK0315","SK0318","Lazisko","Liptovská Teplá"
"353","510581","510726",1,"SK0315","SK0315","Lazisko","Liptovský Hrádok"
"354","510581","510751",1,"SK0315","SK0315","Lazisko","Liptovský Ondrej"
"355","510581","510793",1,"SK0315","SK0315","Lazisko","¼ube¾a"
